5041919700607 18.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 50  1.9  13 10.4-9.9-9.9
5041919700608 18.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 56  2.9  13 10.4-9.9-9.9
5041919700609 17.4-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.8 68  5.1   8  6.4-9.9-9.9
5041919700610 17.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.0 71  3.8   6  4.8-9.9-9.9
5041919700611 19.2-99.9 11.019900-99.9-99.9-99.9-99.9-9.9 9914.6 92 12.6  13 10.4-9.9-9.9
5041919700612 14.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.6 80  6.4   6  4.8-9.9-9.9
5041919700613 12.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.9 70  1.7   6  4.8-9.9-9.9
5041919700614 14.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.2 67  2.3   6  4.8-9.9-9.9
5041919700615 20.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.3 56  4.3  11  8.8-9.9-9.9
5041919700616 16.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.6 60  4.8  17 13.6-9.9-9.9
5041919700617 15.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.4 69  2.7   3  2.4-9.9-9.9
5041919700618 15.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   4  3.2-9.9-9.9
5041919700619 13.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 74  5.4  11  8.8-9.9-9.9
5041919700620 15.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.9 79  6.8   3  2.4-9.9-9.9
5041919700621 10.4-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.8 90  5.1   3  2.4-9.9-9.9
5041919700622 11.5-99.9  1.019900-99.9-99.9-99.9-99.9-9.9 99 7.7 85  3.2   9  7.2-9.9-9.9
5041919700623 10.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 82  1.3   3  2.4-9.9-9.9
5041919700624 11.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.4 74  2.7  17 13.6-9.9-9.9
5041919700625 15.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 62  2.9  21 16.8-9.9-9.9
5041919700626 14.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.1 66  3.9  19 15.2-9.9-9.9
5041919700627 13.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.3 67  2.5   6  4.8-9.9-9.9
5041919700628 10.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 71 -0.7   6  4.8-9.9-9.9
5041919700629  8.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.6 62 -3.8  11  8.8-9.9-9.9
5041919700630  8.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   3  2.4-9.9-9.9
