5029320171220-99.9  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 47-99.9  47 37.6-9.9-9.9
5029320180719-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 80-99.9   4  3.2-9.9-9.9
5029320180723-99.9  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 54-99.9  36 28.8-9.9-9.9
5029320180724-99.9  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 48-99.9  32 25.6-9.9-9.9
5029320180725-99.9  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 59-99.9   9  7.2-9.9-9.9
5029320180730-99.9 -1.6  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 63-99.9  11  8.8-9.9-9.9
5029320180731-99.9  3.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 64-99.9  21 16.8-9.9-9.9
5029320180801-99.9  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 44-99.9  15 12.0-9.9-9.9
5029320180802-99.9  2.8  0.319999-99.9-99.9-99.9-99.9-9.9 99-9.9 46-99.9  15 12.0-9.9-9.9
5029320180806-99.9 -8.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 83-99.9   5  4.0-9.9-9.9
5029320180807-99.9 -6.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 78-99.9   9  7.2-9.9-9.9
5029320180808-99.9 -1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 53-99.9  21 16.8-9.9-9.9
5029320180809-99.9  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 47-99.9  19 15.2-9.9-9.9
5029320180813-99.9  0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 73-99.9   8  6.4-9.9-9.9
5029320180814-99.9  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 57-99.9  35 28.0-9.9-9.9
5029320180821-99.9  6.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 48-99.9  12  9.6-9.9-9.9
5029320180822-99.9  0.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 99-99.9   4  3.2-9.9-9.9
5029320180823-99.9  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 76-99.9  19 15.2-9.9-9.9
5029320180827-99.9  1.3  0.319999-99.9-99.9-99.9-99.9-9.9 99-9.9 51-99.9  29 23.2-9.9-9.9
5029320180828-99.9 -2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 69-99.9  23 18.4-9.9-9.9
5029320180829-99.9 -1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 77-99.9  23 18.4-9.9-9.9
5029320180830-99.9 -0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 59-99.9  13 10.4-9.9-9.9
5029320180903-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 41-99.9  45 36.0-9.9-9.9
5029320180904-99.9 -2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 74-99.9  27 21.6-9.9-9.9
5029320180905-99.9 -5.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 60-99.9   8  6.4-9.9-9.9
5029320180906-99.9 -0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 91-99.9   3  2.4-9.9-9.9
5029320180910-99.9  3.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 38-99.9  29 23.2-9.9-9.9
5029320180912-99.9  0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 49-99.9  22 17.6-9.9-9.9
5029320180913-99.9  6.2  0.519999-99.9-99.9-99.9-99.9-9.9 99-9.9 66-99.9  48 38.4-9.9-9.9
5029320180917-99.9 -0.7  0.119999-99.9-99.9-99.9-99.9-9.9 99-9.9 97-99.9   5  4.0-9.9-9.9
5029320180919-99.9  0.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 95-99.9   7  5.6-9.9-9.9
5029320180920-99.9 -1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 85-99.9  15 12.0-9.9-9.9
5029320180924-99.9 -1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 58-99.9   5  4.0-9.9-9.9
5029320180925-99.9 -0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 58-99.9   5  4.0-9.9-9.9
5029320180926-99.9 -0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 55-99.9   6  4.8-9.9-9.9
5029320180927-99.9 -3.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 49-99.9   9  7.2-9.9-9.9
5029320181001-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 55-99.9  24 19.2-9.9-9.9
5029320181002-99.9 -0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 62-99.9  31 24.8-9.9-9.9
5029320181003-99.9  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 58-99.9  34 27.2-9.9-9.9
5029320181004-99.9  3.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 44-99.9  23 18.4-9.9-9.9
5029320181008-99.9  0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 42-99.9  16 12.8-9.9-9.9
5029320181009-99.9  0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 55-99.9  30 24.0-9.9-9.9
5029320181010-99.9  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 54-99.9  27 21.6-9.9-9.9
5029320181011-99.9  1.6  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 45-99.9  23 18.4-9.9-9.9
5029320181016-99.9 -1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 50-99.9  11  8.8-9.9-9.9
5029320181017-99.9  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 47-99.9  24 19.2-9.9-9.9
5029320181018-99.9 -2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 34-99.9   7  5.6-9.9-9.9
5029320181022-99.9 -1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 61-99.9  12  9.6-9.9-9.9
5029320181023-99.9 -1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 56-99.9   8  6.4-9.9-9.9
5029320181024-99.9 -0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 61-99.9   7  5.6-9.9-9.9
5029320181025-99.9  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 58-99.9   6  4.8-9.9-9.9
5029320181029-99.9  1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 33-99.9  26 20.8-9.9-9.9
5029320181030-99.9  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 46-99.9  23 18.4-9.9-9.9
5029320181031-99.9  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 35-99.9  12  9.6-9.9-9.9
5029320181101-99.9 -1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 43-99.9  15 12.0-9.9-9.9
5029320181105-99.9  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 52-99.9  21 16.8-9.9-9.9
5029320181106-99.9  2.2  0.319999-99.9-99.9-99.9-99.9-9.9 99-9.9 45-99.9  50 40.0-9.9-9.9
5029320181107-99.9  4.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 49-99.9  36 28.8-9.9-9.9
5029320181108-99.9  4.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 61-99.9  35 28.0-9.9-9.9
5029320181112-99.9  9.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 50-99.9  22 17.6-9.9-9.9
5029320181113-99.9  5.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 38-99.9  28 22.4-9.9-9.9
5029320181114-99.9 10.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 47-99.9  45 36.0-9.9-9.9
5029320181115-99.9 -1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 43-99.9  32 25.6-9.9-9.9
5029320181120-99.9  2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 81-99.9  27 21.6-9.9-9.9
5029320181121-99.9  2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 55-99.9  22 17.6-9.9-9.9
5029320181122-99.9  0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 44-99.9  35 28.0-9.9-9.9
5029320181129-99.9  5.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 57-99.9  15 12.0-9.9-9.9
5029320181205-99.9  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 37-99.9  13 10.4-9.9-9.9
