5026619590517  8.8  2.2  0.009900-99.9-99.9-99.9-99.9 0.4  4 3.9 54 -6.0  21 16.8 2.6 2.5
5026619590518 11.2  3.3  0.009900-99.9-99.9-99.9-99.9 6.9 74 4.5 58 -4.1  27 21.6 7.5 3.0
5026619590519-99.9  2.0  0.009900-99.9-99.9-99.9-99.9 7.9 84 4.4 60 -4.4   8  6.4 8.1-9.9
5026619590520 16.0  1.8  0.619900-99.9-99.9-99.9-99.9 5.6 60 3.6 41 -7.1  15 12.0 6.4 2.6
5026619590521 10.4  7.8  0.009900-99.9-99.9-99.9-99.9 0.0  0 7.2 83  2.3  27 21.6 2.2 2.3
5026619590522 15.4  3.6  0.009900-99.9-99.9-99.9-99.9 3.8 41 6.7 73  1.3  16 12.8 4.9 1.8
5026619590523 19.5  8.5  0.219900-99.9-99.9-99.9-99.9 0.0  0 8.0 56  3.8  27 21.6 2.2 3.5
5026619590524-99.9  7.8  0.009900-99.9-99.9-99.9-99.9 5.2 57 5.9 53 -0.5  22 17.6 5.8-9.9
5026619590525 18.4  9.6  0.009900-99.9-99.9-99.9-99.9 0.0  0 3.0 22 -9.4  23 18.4 2.1 4.9
5026619590526 19.5 14.0  0.009900-99.9-99.9-99.9-99.9 0.0  0 3.4 24 -7.8  25 20.0 2.1 5.7
5026619590527 16.0  4.4  0.009900-99.9-99.9-99.9-99.9 0.2  2 4.1 45 -5.4  28 22.4 2.2 4.2
5026619590528 12.8  1.0  0.009900-99.9-99.9-99.9-99.9 7.4 82 3.4 43 -7.8  12  9.6 7.2 2.0
5026619590529 14.8  2.2  0.009900-99.9-99.9-99.9-99.9 6.6 73 3.3 41 -8.2   6  4.8 6.6 1.6
5026619590530 17.5  6.8  0.009900-99.9-99.9-99.9-99.9 1.0 11 6.7 56  1.3  27 21.6 2.7 3.4
5026619590531 19.5 12.0  0.009900-99.9-99.9-99.9-99.9 4.3 48 6.8 54  1.5  27 21.6 4.9 4.4
5026619590601 12.4  3.4  0.009900-99.9-99.9-99.9-99.9 3.3 37 5.0 65 -2.7  30 24.0 4.2 3.2
5026619590602 16.0  1.2  0.009900-99.9-99.9-99.9-99.9 0.0  0 4.2 42 -5.0  30 24.0 2.0 3.9
5026619590603 16.0  5.8  0.319900-99.9-99.9-99.9-99.9 0.8  9 6.1 79  0.0  20 16.0 2.5 2.6
5026619590604  9.8  5.0  0.009900-99.9-99.9-99.9-99.9 0.3  3 5.6 75 -1.2   9  7.2 2.1 1.3
5026619590605 13.5  4.5  0.009900-99.9-99.9-99.9-99.9 0.0  0 5.8 64 -0.7  12  9.6 1.9 1.7
