5046519610619 15.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.2 48 -2.2   6  4.8-9.9-9.9
5046519610620 18.3-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.8 31 -3.3  21 16.8-9.9-9.9
5046519610621 22.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.6 19-11.2   8  6.4-9.9-9.9
5046519610622 18.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.9 20 -9.8  19 15.2-9.9-9.9
5046519610623 21.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.3 16-12.7  21 16.8-9.9-9.9
5046519610624 19.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 1.6 10-17.1  15 12.0-9.9-9.9
5046519610625 18.0-99.9  2.019900-99.9-99.9-99.9-99.9-9.9 99 2.2 16-13.3  25 20.0-9.9-9.9
5046519610626 11.0-99.9  2.019901-99.9-99.9-99.9-99.9-9.9 99 4.9 82 -3.0  13 10.4-9.9-9.9
5046519610627  6.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.2 61 -5.0   9  7.2-9.9-9.9
5046519610628  6.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.7 57 -6.7   6  4.8-9.9-9.9
5046519610629  4.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.9 48 -9.8  21 16.8-9.9-9.9
5046519610630  3.5-99.9  0.009901-99.9-99.9-99.9-99.9-9.9 99 4.7 76 -3.6   6  4.8-9.9-9.9
5046519610701 19.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.6 31-11.2  16 12.8-9.9-9.9
5046519610702 17.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.6 40 -7.1   6  4.8-9.9-9.9
5046519610703 18.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.1 37 -5.4   4  3.2-9.9-9.9
5046519610704 14.0-99.9  1.819900-99.9-99.9-99.9-99.9-9.9 99 3.2 25 -8.6  13 10.4-9.9-9.9
5046519610705  9.0-99.9  2.819901-99.9-99.9-99.9-99.9-9.9 99 3.8 55 -6.4   9  7.2-9.9-9.9
5046519610706  6.3-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.0 53 -9.4   8  6.4-9.9-9.9
5046519610707  5.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.3 55 -8.2  15 12.0-9.9-9.9
5046519610708 13.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.1 53 -5.4   9  7.2-9.9-9.9
5046519610709 12.3-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.9 45 -6.0  11  8.8-9.9-9.9
5046519610710 12.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.7 59 -3.6   6  4.8-9.9-9.9
5046519610711  4.0-99.9  8.519901-99.9-99.9-99.9-99.9-9.9 99 4.8 68 -3.3   9  7.2-9.9-9.9
5046519610712  2.5-99.9  4.519901-99.9-99.9-99.9-99.9-9.9 99 4.0 69 -5.7  18 14.4-9.9-9.9
