5055119891010 17.2 11.0  3.619999-99.9-99.9-99.9-99.9 0.1  0-9.9-99-99.9 -99-99.9 6.4-9.9
5055119891011 18.3  7.8  3.019999-99.9-99.9-99.9-99.9 3.0 23-9.9-99-99.9 -99-99.911.0-9.9
5055119891012 13.9  1.5  0.009999-99.9-99.9-99.9-99.911.3 88-9.9-99-99.9 -99-99.924.0-9.9
5055119891013 21.0 -0.1  0.009999-99.9-99.9-99.9-99.911.4 88-9.9-99-99.9 -99-99.924.2-9.9
5055119891014 22.9  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5055119891015 24.7  9.0  0.009999-99.9-99.9-99.9-99.9 6.5 50-9.9-99-99.9 -99-99.916.8-9.9
5055119891016 23.5  9.4  0.009999-99.9-99.9-99.9-99.911.6 89-9.9-99-99.9 -99-99.924.8-9.9
5055119891017 25.2  5.7  0.009999-99.9-99.9-99.9-99.911.0 84-9.9-99-99.9 -99-99.923.9-9.9
5055119891018 26.9  6.7  0.009999-99.9-99.9-99.9-99.911.5 88-9.9-99-99.9 -99-99.924.9-9.9
5055119891019 28.3 11.7  0.009999-99.9-99.9-99.9-99.910.8 82-9.9-99-99.9 -99-99.923.8-9.9
5055119891020 25.2 12.2 21.019999-99.9-99.9-99.9-99.9 3.2 24-9.9-99-99.9 -99-99.911.8-9.9
5055119891021 25.6 11.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5055119891022 29.6 14.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5055119891023 30.1 16.7  5.019999-99.9-99.9-99.9-99.9 5.3 40-9.9-99-99.9 -99-99.915.4-9.9
5055119891024 24.8 14.8  3.519999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5055119891025 18.9 13.0 21.519999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5055119891026 18.8  7.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5055119891027 24.0  3.9  0.009999-99.9-99.9-99.9-99.912.7 95-9.9-99-99.9 -99-99.927.6-9.9
5055119891028 26.6 10.2  0.009999-99.9-99.9-99.9-99.911.5 86-9.9-99-99.9 -99-99.925.8-9.9
5055119891029 28.2 10.5  0.009999-99.9-99.9-99.9-99.911.6 86-9.9-99-99.9 -99-99.925.9-9.9
5055119891030 17.4  9.5  0.009999-99.9-99.9-99.9-99.9 4.0 29-9.9-99-99.9 -99-99.913.5-9.9
5055119891031 20.0  5.7  0.009999-99.9-99.9-99.9-99.910.0 74-9.9-99-99.9 -99-99.923.5-9.9
5055119891101 20.8 10.7  0.919999-99.9-99.9-99.9-99.9 4.0 29-9.9-99-99.9 -99-99.913.7-9.9
5055119891102 16.5 14.3  6.019999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 7.3-9.9
5055119891103 24.8  9.7  0.009999-99.9-99.9-99.9-99.911.0 81-9.9-99-99.9 -99-99.925.4-9.9
5055119891104 26.6 12.5  0.009999-99.9-99.9-99.9-99.913.0 96-9.9-99-99.9 -99-99.928.9-9.9
5055119891105 28.0  9.5  0.009999-99.9-99.9-99.9-99.913.4 98-9.9-99-99.9 -99-99.929.4-9.9
5055119891106 27.3 11.0  0.009999-99.9-99.9-99.9-99.9 2.0 14-9.9-99-99.9 -99-99.910.6-9.9
5055119891107 27.9 12.6  0.009999-99.9-99.9-99.9-99.9 2.0 14-9.9-99-99.9 -99-99.910.6-9.9
5055119891108 30.2 10.9  0.009999-99.9-99.9-99.9-99.911.0 80-9.9-99-99.9 -99-99.925.7-9.9
5055119891109 29.3 13.4  0.009999-99.9-99.9-99.9-99.912.8 93-9.9-99-99.9 -99-99.928.7-9.9
5055119891110 30.5 14.4 12.019999-99.9-99.9-99.9-99.9 8.5 62-9.9-99-99.9 -99-99.921.7-9.9
5055119891111 17.9 10.2 16.519999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5055119891112 20.3  7.9  0.009999-99.9-99.9-99.9-99.912.1 87-9.9-99-99.9 -99-99.927.7-9.9
5055119891113 23.8  5.7  0.009999-99.9-99.9-99.9-99.913.3 96-9.9-99-99.9 -99-99.929.9-9.9
5055119891114 28.4  9.2  0.009999-99.9-99.9-99.9-99.912.2 88-9.9-99-99.9 -99-99.928.1-9.9
5055119891115 23.0 13.7  0.009999-99.9-99.9-99.9-99.912.0 86-9.9-99-99.9 -99-99.927.7-9.9
5055119891116 25.6  4.5  0.009999-99.9-99.9-99.9-99.912.9 93-9.9-99-99.9 -99-99.929.4-9.9
5055119891117 29.9  7.5  0.009999-99.9-99.9-99.9-99.912.6 90-9.9-99-99.9 -99-99.928.8-9.9
5055119891118 33.5 13.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5055119891119 30.6 18.2  0.009999-99.9-99.9-99.9-99.9 4.5 32-9.9-99-99.9 -99-99.915.3-9.9
5055119891120 32.0 15.9  2.419999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5055119891121 32.0 17.9  0.009999-99.9-99.9-99.9-99.910.0 71-9.9-99-99.9 -99-99.924.6-9.9
5055119891122 23.0 17.8  6.519999-99.9-99.9-99.9-99.9 3.0 21-9.9-99-99.9 -99-99.912.8-9.9
5055119891123 30.5 15.1  0.009999-99.9-99.9-99.9-99.9 9.0 64-9.9-99-99.9 -99-99.923.1-9.9
5055119891124 28.1 10.7  0.009999-99.9-99.9-99.9-99.913.0 92-9.9-99-99.9 -99-99.929.9-9.9
5055119891125 31.7 13.7  0.009999-99.9-99.9-99.9-99.912.2 86-9.9-99-99.9 -99-99.928.5-9.9
5055119891126 31.7 16.9  0.009999-99.9-99.9-99.9-99.9 6.0 42-9.9-99-99.9 -99-99.918.0-9.9
5055119891127 28.2 12.4  0.009999-99.9-99.9-99.9-99.910.3 72-9.9-99-99.9 -99-99.925.2-9.9
5055119891128 29.8 11.7  0.009999-99.9-99.9-99.9-99.912.5 88-9.9-99-99.9 -99-99.929.2-9.9
5055119891129 33.0 13.8  0.009999-99.9-99.9-99.9-99.912.7 89-9.9-99-99.9 -99-99.929.5-9.9
5055119891130 33.5 16.6  0.009999-99.9-99.9-99.9-99.910.0 70-9.9-99-99.9 -99-99.924.9-9.9
5055119891201 28.3 20.7  0.009999-99.9-99.9-99.9-99.9 0.1  0-9.9-99-99.9 -99-99.9 8.0-9.9
5055119891202 35.7 18.8  5.019999-99.9-99.9-99.9-99.911.9 83-9.9-99-99.9 -99-99.928.2-9.9
