5036619600607 26.0 12.6  0.009900-99.9-99.9-99.9-99.9 6.1 5818.2 82 16.0  14 11.210.5 1.9
5036619600608 27.4 13.6  0.009900-99.9-99.9-99.9-99.9 5.8 5518.9 76 16.6   9  7.210.1 1.8
5036619600609 22.0 14.5  0.619900-99.9-99.9-99.9-99.9 0.0  013.9 82 11.9   7  5.6 3.8 1.6
5036619600610 14.6  9.6  2.319900-99.9-99.9-99.9-99.9 0.0  012.2 94  9.9   7  5.6 3.7 0.9
5036619600611 15.0  9.0  0.219900-99.9-99.9-99.9-99.9 0.0  011.1 78  8.5   2  1.6 3.7 0.9
5036619600612 12.7 10.2  0.219900-99.9-99.9-99.9-99.9 0.0  012.4 94 10.1   2  1.6 3.7 0.6
5036619600613 20.4 10.3  0.009900-99.9-99.9-99.9-99.9 2.4 2313.4 82 11.3   2  1.6 6.4 1.1
5036619600614 20.0  7.3  0.009900-99.9-99.9-99.9-99.9 1.3 1213.6 82 11.5   7  5.6 5.1 0.9
5036619600615 20.0 12.2  0.009900-99.9-99.9-99.9-99.9 1.7 1614.5 81 12.5   7  5.6 5.6 1.2
5036619600616 19.0 14.0  0.009900-99.9-99.9-99.9-99.9 0.9  915.4 87 13.4  11  8.8 4.7 1.3
5036619600617 17.2 10.1  0.009900-99.9-99.9-99.9-99.9 1.6 15 8.7 64  5.0   6  4.8 5.5 1.6
5036619600618 18.6  5.0  0.009900-99.9-99.9-99.9-99.9 5.7 55 9.1 59  5.6  12  9.6 9.9 1.6
5036619600619 19.5  4.1  0.009900-99.9-99.9-99.9-99.9 7.5 72 9.7 74  6.5   7  5.611.9 1.3
5036619600620 23.0  5.6  0.009900-99.9-99.9-99.9-99.9 2.6 2511.4 71  8.9   6  4.8 6.5 1.3
5036619600621 23.3  6.0  0.009900-99.9-99.9-99.9-99.9 4.5 4311.7 73  9.3   4  3.2 8.6 1.2
5036619600622 18.4  9.8  3.819900-99.9-99.9-99.9-99.9 0.0  013.4 81 11.3   4  3.2 3.7 0.9
5036619600623 15.0  7.0  1.819900-99.9-99.9-99.9-99.9 0.0  0 9.5 91  6.2   9  7.2 3.7 1.3
5036619600624 11.0  5.8  0.009900-99.9-99.9-99.9-99.9 0.5  5 9.1 87  5.6   9  7.2 4.3 0.9
5036619600625 10.8  2.0  0.009900-99.9-99.9-99.9-99.9 0.0  0 9.1 87  5.6   6  4.8 3.7 0.5
5036619600626 11.2  8.0  0.009900-99.9-99.9-99.9-99.9 0.0  0 9.0 78  5.4   6  4.8 3.7 1.0
5036619600627 10.4  6.8  0.009900-99.9-99.9-99.9-99.9 0.0  0 8.6 81  4.8   7  5.6 3.7 1.0
5036619600628 17.0  0.6  0.009900-99.9-99.9-99.9-99.9 6.3 60 7.8 76  3.4   6  4.810.6 1.1
5036619600629 18.6  1.9  0.009900-99.9-99.9-99.9-99.9 7.2 69 9.2 74  5.8   1  0.811.6 0.9
5036619600630 21.0  5.0  0.009900-99.9-99.9-99.9-99.9 2.9 2810.8 73  8.1   6  4.8 6.9 1.2
5036619600701 18.4  7.6  0.009900-99.9-99.9-99.9-99.9 0.0  014.4 87 12.4   6  4.8 3.8 0.6
5036619600702 21.6 13.1  0.009900-99.9-99.9-99.9-99.9 0.0  015.5 86 13.5   2  1.6 3.8 1.0
5036619600703 20.0  9.6  0.219900-99.9-99.9-99.9-99.9 0.0  016.2 93 14.2   4  3.2 3.8 0.7
5036619600704 16.6 11.2  3.519900-99.9-99.9-99.9-99.9 0.0  015.1 93 13.1   7  5.6 3.8 0.7
5036619600705 14.4  7.8  3.719900-99.9-99.9-99.9-99.9 0.0  011.0100  8.4  11  8.8 3.8 1.0
