5012919610513-99.9  5.5  0.009900-99.9-99.9-99.9-99.9 8.8 84 2.1 18-13.8  19 15.213.2-9.9
5012919610514-99.9  2.0  0.009900-99.9-99.9-99.9-99.9 8.6 82 1.6 15-17.1  19 15.212.9-9.9
5012919610515-99.9  1.5  0.009900-99.9-99.9-99.9-99.9 0.0  0 2.8 29-10.3  19 15.2 3.6-9.9
5012919610516-99.9  1.5  1.219900-99.9-99.9-99.9-99.9 0.0  0 6.3 89  0.4  11  8.8 3.6-9.9
5012919610517-99.9 -2.3  0.009900-99.9-99.9-99.9-99.9 8.1 78 2.9 43 -9.8  17 13.612.1-9.9
5012919610518-99.9 -1.0  0.009900-99.9-99.9-99.9-99.9 8.5 82 2.0 26-14.4  14 11.212.5-9.9
5012919610519-99.9 -3.0  0.009900-99.9-99.9-99.9-99.9 8.5 82 1.6 20-17.1  16 12.812.4-9.9
5012919610520-99.9 -1.3  0.009900-99.9-99.9-99.9-99.9 6.3 61 2.0 24-14.4  19 15.210.0-9.9
5012919610521-99.9 -1.0  0.009900-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9  19 15.2 3.5-9.9
5012919610522-99.9 -1.0  0.009900-99.9-99.9-99.9-99.9 4.1 40-9.9-99-99.9  16 12.8 7.7-9.9
5012919610523-99.9  2.1  0.009900-99.9-99.9-99.9-99.9 8.2 80 1.8 17-15.7  16 12.811.8-9.9
5012919610524-99.9  2.0  0.009900-99.9-99.9-99.9-99.9 8.2 80 1.9 17-15.0  14 11.211.7-9.9
5012919610525-99.9  2.5  0.009900-99.9-99.9-99.9-99.9 7.2 71 1.6 15-17.1  29 23.210.7-9.9
5012919610526-99.9  2.8  2.019900-99.9-99.9-99.9-99.9 0.0  0 4.6 44 -3.8  21 16.8 3.4-9.9
5012919610527-99.9  3.4  0.009900-99.9-99.9-99.9-99.9 7.0 69 4.6 43 -3.8  25 20.010.4-9.9
5012919610528-99.9  3.4  0.009900-99.9-99.9-99.9-99.9 8.5 84 3.5 23 -7.4  24 19.211.8-9.9
5012919610529-99.9  9.6  0.009900-99.9-99.9-99.9-99.9 3.3 33 3.7 27 -6.7  24 19.2 6.6-9.9
5012919610530-99.9  2.8  3.619901-99.9-99.9-99.9-99.9 8.9 88 3.5 36 -7.4  22 17.612.1-9.9
5012919610531-99.9 -2.6  1.419901-99.9-99.9-99.9-99.9 1.5 15 3.1 50 -9.0  21 16.8 4.7-9.9
5012919610601-99.9 -4.1  0.009900-99.9-99.9-99.9-99.9 0.0  0 3.7 50 -6.7   9  7.2 3.2-9.9
5012919610602-99.9-99.9 25.619900-99.9-99.9-99.9-99.9 0.0  0 3.5 57 -7.4  30 24.0 3.2-9.9
