5004419731028 36.0 22.3  3.519900 21.1-99.9-99.9-99.9 7.8 6010.4 25  7.5  42 33.620.312.5
5004419731029 29.2 14.5  0.009900 13.7-99.9-99.9-99.9 5.2 4011.3 44  8.8  17 13.616.0 5.6
5004419731030 32.0 18.8  0.009900 17.9-99.9-99.9-99.9 7.3 5612.5 35 10.3  36 28.819.6 9.5
5004419731031 27.4 11.5  0.009900 10.7-99.9-99.9-99.9 1.0  8 9.5 45  6.2  10  8.0 9.0 3.8
5004419731101 20.8 12.5  0.009900 11.6-99.9-99.9-99.9 0.0  011.0 63  8.4   3  2.4 7.3 2.2
5004419731102 21.8 13.2  0.009900 12.4-99.9-99.9-99.9 3.2 24 9.4 45  6.1  56 44.812.8 8.8
5004419731103 28.6 15.6  0.009900 14.6-99.9-99.9-99.9 9.5 72 9.9 33  6.8  40 32.023.5 9.9
5004419731104 30.7 15.1  0.009900 14.0-99.9-99.9-99.9 8.5 6410.6 37  7.8  13 10.421.9 6.0
5004419731105 32.9 19.4  0.009900 18.5-99.9-99.9-99.9 8.0 6017.0 46 15.0  64 51.221.112.4
5004419731106 35.3 20.4  0.009900 19.5-99.9-99.9-99.9 5.8 4417.1 45 15.0  31 24.817.4 8.4
5004419731107 34.7 24.7  0.009900 23.8-99.9-99.9-99.9 3.5 2616.6 41 14.6  47 37.613.511.3
5004419731108 31.5 22.3  0.009900 21.6-99.9-99.9-99.9 6.5 4919.0 54 16.7  23 18.418.6 6.9
5004419731109 26.5 19.1  0.009900 18.3-99.9-99.9-99.9 0.4  318.6 66 16.4  21 16.8 8.2 3.9
5004419731110 26.7 20.0  0.009900 19.1-99.9-99.9-99.9 5.0 3716.0 57 14.0  37 29.616.1 7.4
5004419731111 27.9 18.2  0.009900 17.3-99.9-99.9-99.9 5.5 4113.3 51 11.2  37 29.617.0 8.2
5004419731112 28.8 16.7  0.009900 15.9-99.9-99.9-99.9 4.0 3012.4 48 10.1  12  9.614.5 4.9
5004419731113 29.8 17.2  0.009900 16.5-99.9-99.9-99.9 4.5 3313.4 43 11.3  19 15.215.4 5.9
5004419731114 30.7 19.8  0.009900 18.9-99.9-99.9-99.9 4.6 3413.8 40 11.8  56 44.815.611.5
5004419731115 35.8 21.4  0.009900 20.6-99.9-99.9-99.9 4.0 3013.7 33 11.6  38 30.414.510.3
5004419731116 34.9 23.0  5.919900 22.1-99.9-99.9-99.9 6.3 4714.9 34 12.9   7  5.618.5 5.5
5004419731117 32.1 14.7  0.009900 13.9-99.9-99.9-99.9 0.0  014.3 70 12.3  22 17.6 7.7 5.1
5004419731118 31.2 14.3  0.009900 13.5-99.9-99.9-99.911.0 8112.1 38  9.8  12  9.626.7 6.4
5004419731119 36.9 18.0  0.009900 17.1-99.9-99.9-99.911.0 8111.2 29  8.6  16 12.826.8 8.0
5004419731120 37.1 22.5  0.009900 21.6-99.9-99.9-99.9 7.5 5511.3 24  8.8  40 32.020.712.4
5004419731121 36.0 24.5  0.009900 23.3-99.9-99.9-99.9 3.8 2811.5 24  9.0  61 48.814.316.0
5004419731122 39.3 23.0  0.009900 22.2-99.9-99.9-99.9 3.8 2813.7 28 11.6  20 16.014.4 7.9
5004419731123 38.2 25.8  5.619900 24.8-99.9-99.9-99.9 4.7 3415.9 36 13.9  30 24.015.9 9.9
5004419731124 26.9 14.4  0.009900 13.6-99.9-99.9-99.9 1.2  913.2 56 11.1  30 24.0 9.9 5.6
5004419731125 31.3 18.5  0.009900 17.6-99.9-99.9-99.9 7.0 5113.4 40 11.3  43 34.420.010.2
5004419731126 35.5 19.4  0.009900 18.6-99.9-99.9-99.9 6.2 4513.1 33 11.0  19 15.218.6 7.4
5004419731127 32.4 22.6  0.009900 21.6-99.9-99.9-99.9 6.7 4914.0 36 12.0  39 31.219.510.6
5004419731128 35.5 21.6  0.009900 20.7-99.9-99.9-99.9 6.5 4717.0 40 15.0  43 34.419.210.8
5004419731129 40.0 22.0  0.009900 20.1-99.9-99.9-99.9 4.3 3117.8 35 15.7  15 12.015.4 6.7
5004419731130 34.4 24.1  6.719900 20.0-99.9-99.9-99.9 6.0 4417.2 43 15.1  27 21.618.3 8.6
5004419731201 29.7 15.5  8.619900 14.8-99.9-99.9-99.9-9.9 9917.0 73 15.0  20 16.0-9.9-9.9
5004419731202 32.6 16.2  0.009900 15.3-99.9-99.9-99.9-9.9 9914.2 43 12.2  18 14.4-9.9-9.9
5004419731203 34.3 19.6  0.009900 18.9-99.9-99.9-99.9-9.9 9916.2 41 14.2  36 28.8-9.9-9.9
5004419731204 30.2 17.7  0.009900 16.9-99.9-99.9-99.9-9.9 9911.7 42  9.3  14 11.2-9.9-9.9
5004419731205 34.1 14.0  0.009900 13.0-99.9-99.9-99.9-9.9 9912.9 37 10.7  15 12.0-9.9-9.9
5004419731206 34.9 21.6  1.019900 20.7-99.9-99.9-99.9-9.9 9914.1 39 12.1  31 24.8-9.9-9.9
5004419731207 28.6 13.9  0.009900 12.9-99.9-99.9-99.9-9.9 99 7.2 27  2.3  28 22.4-9.9-9.9
5004419731208 32.7 14.9  0.009900 13.9-99.9-99.9-99.9-9.9 99 9.7 30  6.5  30 24.0-9.9-9.9
