5285020120405 14.4  1.9  0.619999-99.9-99.9-99.9-99.9-9.9 99 9.5 87  6.0 -99-99.9-9.9-9.9
5285020120406 18.0  7.1  0.619999-99.9-99.9-99.9-99.9-9.9 9911.8 78  9.3 -99-99.9-9.9-9.9
5285020120407 19.1  8.1  0.919999-99.9-99.9-99.9-99.9-9.9 99 9.9 72  6.5 -99-99.9-9.9-9.9
5285020120408 18.1  1.1  0.319999-99.9-99.9-99.9-99.9-9.9 99 8.1 80  3.9 -99-99.9-9.9-9.9
5285020120409 17.4  2.2  0.319999-99.9-99.9-99.9-99.9-9.9 99 9.3 89  5.8 -99-99.9-9.9-9.9
5285020120410 19.0  3.1  0.619999-99.9-99.9-99.9-99.9-9.9 99 8.7 82  5.0 -99-99.9-9.9-9.9
5285020120411 21.0  0.9  0.319999-99.9-99.9-99.9-99.9-9.9 99 8.6 77  4.6 -99-99.9-9.9-9.9
5285020120412 20.4  4.5  0.319999-99.9-99.9-99.9-99.9-9.9 99 9.6 70  6.3 -99-99.9-9.9-9.9
5285020120413 17.1  6.8  0.319999-99.9-99.9-99.9-99.9-9.9 99 8.7 68  4.4 -99-99.9-9.9-9.9
5285020120414 14.7  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 80  5.8 -99-99.9-9.9-9.9
5285020120415 17.1  5.5  0.319999-99.9-99.9-99.9-99.9-9.9 99 9.2 69  5.6 -99-99.9-9.9-9.9
5285020120416 16.8  5.8  0.319999-99.9-99.9-99.9-99.9-9.9 99 9.6 79  6.3 -99-99.9-9.9-9.9
5285020120417 16.3  5.6  0.319999-99.9-99.9-99.9-99.9-9.9 9910.7 81  7.9 -99-99.9-9.9-9.9
5285020120418 17.6  8.9  0.319999-99.9-99.9-99.9-99.9-9.9 9910.5 81  7.5 -99-99.9-9.9-9.9
5285020120419 16.3  4.9  0.319999-99.9-99.9-99.9-99.9-9.9 99 9.7 76  6.4 -99-99.9-9.9-9.9
5285020120420 19.2  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.4 79  7.4 -99-99.9-9.9-9.9
5285020120421 17.6 -0.5  0.319999-99.9-99.9-99.9-99.9-9.9 99 6.7 69  1.1 -99-99.9-9.9-9.9
5285020120422 17.8 -0.6  0.319999-99.9-99.9-99.9-99.9-9.9 99 6.6 71  0.9 -99-99.9-9.9-9.9
5285020120423 17.9 -0.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 71  1.5 -99-99.9-9.9-9.9
5285020120424 17.5  0.8  0.319999-99.9-99.9-99.9-99.9-9.9 99 6.5 65  0.8 -99-99.9-9.9-9.9
5285020120425 13.1 -0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 68 -1.0 -99-99.9-9.9-9.9
5285020120426 10.1 -2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.6 74 -1.2 -99-99.9-9.9-9.9
5285020120427 10.5 -2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.5 80  0.8 -99-99.9-9.9-9.9
5285020120428 12.4  0.8  0.919999-99.9-99.9-99.9-99.9-9.9 99 8.4 85  4.3 -99-99.9-9.9-9.9
5285020120429 15.3  5.5  0.319999-99.9-99.9-99.9-99.9-9.9 9911.0 89  8.3 -99-99.9-9.9-9.9
5285020120430 17.8  7.4  6.219999-99.9-99.9-99.9-99.9-9.9 9910.2 76  7.0 -99-99.9-9.9-9.9
5285020120501 18.1  1.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.2 63  4.1 -99-99.9-9.9-9.9
5285020120502 14.2  7.9 26.419999-99.9-99.9-99.9-99.9-9.9 9910.5 81  7.5 -99-99.9-9.9-9.9
5285020120503 15.0  6.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 92  8.5 -99-99.9-9.9-9.9
5285020120504 13.0  4.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.5 93  7.6 -99-99.9-9.9-9.9
5285020120505 14.8  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 91  7.8 -99-99.9-9.9-9.9
5285020120506 16.1  5.3-99.999999-99.9-99.9-99.9-99.9-9.9 9912.3 99  9.8 -99-99.9-9.9-9.9
5285020120507-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020120508-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020120509 12.6  5.0-99.999999-99.9-99.9-99.9-99.9-9.9 9910.4 93  7.4 -99-99.9-9.9-9.9
5285020120510-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020120511-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
