5292320061107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320061109-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320061219-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320130828-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320130829 17.2-11.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 61 -2.8   6  4.5-9.9-9.9
5292320140222 25.4  4.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 52  4.0   6  5.1-9.9-9.9
5292320140223 24.5  5.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 51  4.9   8  6.5-9.9-9.9
5292320140224 26.4  1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 36  0.3   5  4.4-9.9-9.9
5292320140225 28.5  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 38  2.7   8  6.1-9.9-9.9
5292320140226 27.1  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 46  3.8   6  4.8-9.9-9.9
5292320140227 26.6  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.4 39 -0.8   8  6.6-9.9-9.9
5292320140228 26.7  1.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 30 -1.8   5  4.4-9.9-9.9
5292320140301 27.1 -0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.4 24 -4.9   9  7.5-9.9-9.9
5292320140302 23.8 -0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.0 23 -6.4   9  6.8-9.9-9.9
5292320140303 22.6 -3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.7 34 -4.4   7  5.2-9.9-9.9
5292320140304 24.2 -1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.5 48  0.5   7  5.4-9.9-9.9
5292320140305 24.1 -1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 34 -1.8   7  5.8-9.9-9.9
