5291020130824-99.9-99.9 28.819999-99.9-99.9-99.9-99.9-9.9 9910.7100  7.9 -99-99.9-9.9-9.9
5291020140110 33.3 21.6  0.009999-99.9-99.9-99.9-99.9-9.9 9926.4 68 21.9 -99-99.9-9.9-9.9
5291020140111 32.8 18.6 10.519999-99.9-99.9-99.9-99.9-9.9 9924.8 89 21.0 -99-99.9-9.9-9.9
5291020140112 27.8 19.7  0.519999-99.9-99.9-99.9-99.9-9.9 9924.7 89 20.9 -99-99.9-9.9-9.9
5291020140113 31.3 19.3 24.519999-99.9-99.9-99.9-99.9-9.9 9923.5 78 20.0 -99-99.9-9.9-9.9
5291020140114 29.2 16.2  0.009999-99.9-99.9-99.9-99.9-9.9 9923.3 87 19.9 -99-99.9-9.9-9.9
5291020140115 29.7 18.7  0.219999-99.9-99.9-99.9-99.9-9.9 9924.6 88 20.8 -99-99.9-9.9-9.9
5291020140116 31.5 18.9  0.219999-99.9-99.9-99.9-99.9-9.9 9923.7 76 20.2 -99-99.9-9.9-9.9
5291020140117 33.2 21.0  0.009999-99.9-99.9-99.9-99.9-9.9 9924.0 63 20.4 -99-99.9-9.9-9.9
5291020140118 33.4 21.6  0.009999-99.9-99.9-99.9-99.9-9.9 9923.9 58 20.3 -99-99.9-9.9-9.9
5291020140119 35.0 22.9  0.009999-99.9-99.9-99.9-99.9-9.9 9923.6 59 20.1 -99-99.9-9.9-9.9
5291020140120 35.0 23.0  0.009999-99.9-99.9-99.9-99.9-9.9 9923.4 58 20.0 -99-99.9-9.9-9.9
5291020140121 34.9 23.4  0.009999-99.9-99.9-99.9-99.9-9.9 9921.0 50 18.3 -99-99.9-9.9-9.9
5291020140122 35.3 24.7  0.009999-99.9-99.9-99.9-99.9-9.9 9925.1 58 21.2 -99-99.9-9.9-9.9
5291020140123 33.4 24.0  0.009999-99.9-99.9-99.9-99.9-9.9 9926.8 70 22.2 -99-99.9-9.9-9.9
5291020140124 33.9 23.5  7.019999-99.9-99.9-99.9-99.9-9.9 9926.6 65 22.1 -99-99.9-9.9-9.9
5291020140125 27.9 20.5  0.219999-99.9-99.9-99.9-99.9-9.9 9925.5 99 21.4 -99-99.9-9.9-9.9
5291020140126 33.4 19.3  1.219999-99.9-99.9-99.9-99.9-9.9 9925.0 78 21.1 -99-99.9-9.9-9.9
5291020140127 33.3 20.0  0.009999-99.9-99.9-99.9-99.9-9.9 9924.9 62 21.0 -99-99.9-9.9-9.9
