5272120101213-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5272120101214 32.2  9.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 39  7.3 -99-99.9-9.9-9.9
5272120101215 34.4  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 36  9.3 -99-99.9-9.9-9.9
5272120110215 31.4 10.8  0.009999-99.9-99.9-99.9-99.9-9.9 9927.5100 21.2 -99-99.9-9.9-9.9
5272120110216 32.8 13.4  0.009999-99.9-99.9-99.9-99.9-9.9 9932.2100 24.2 -99-99.9-9.9-9.9
5272120110217 34.8 21.6  0.009999-99.9-99.9-99.9-99.9-9.9 9939.0100 28.1 -99-99.9-9.9-9.9
5272120110218 33.7 24.2  0.009999-99.9-99.9-99.9-99.9-9.9 9939.3100 28.4 -99-99.9-9.9-9.9
5272120110219 30.8 22.6  0.009999-99.9-99.9-99.9-99.9-9.9 9934.5100 26.3 -99-99.9-9.9-9.9
5272120110220 31.5 21.8  0.919999-99.9-99.9-99.9-99.9-9.9 9934.6100 26.2 -99-99.9-9.9-9.9
5272120110221 31.2 20.8  0.009999-99.9-99.9-99.9-99.9-9.9 9933.4100 25.6 -99-99.9-9.9-9.9
5272120110222 32.8 20.5 37.719999-99.9-99.9-99.9-99.9-9.9 9934.4100 26.1 -99-99.9-9.9-9.9
5272120110223 30.2 22.2  7.319999-99.9-99.9-99.9-99.9-9.9 9928.9 98 23.4 -99-99.9-9.9-9.9
5272120110224 27.7 19.5  0.009999-99.9-99.9-99.9-99.9-9.9 9922.3 82 19.2 -99-99.9-9.9-9.9
5272120110225 28.2 18.2  0.009999-99.9-99.9-99.9-99.9-9.9 9921.5 79 18.6 -99-99.9-9.9-9.9
5272120110226 29.2 14.4  0.009999-99.9-99.9-99.9-99.9-9.9 9918.9 74 16.6 -99-99.9-9.9-9.9
5272120110227 30.4 13.1  0.009999-99.9-99.9-99.9-99.9-9.9 9917.0 60 14.9 -99-99.9-9.9-9.9
5272120110228 30.5 11.1  0.009999-99.9-99.9-99.9-99.9-9.9 9917.0 57 14.9 -99-99.9-9.9-9.9
5272120110301 29.5 13.9  0.009999-99.9-99.9-99.9-99.9-9.9 9918.5 62 16.2 -99-99.9-9.9-9.9
5272120110302 30.9 17.7  0.009999-99.9-99.9-99.9-99.9-9.9 9920.3 69 17.7 -99-99.9-9.9-9.9
5272120110303 30.5 13.8  0.009999-99.9-99.9-99.9-99.9-9.9 9918.5 61 16.3 -99-99.9-9.9-9.9
5272120110304 31.0 15.1  0.009999-99.9-99.9-99.9-99.9-9.9 9919.1 63 16.8 -99-99.9-9.9-9.9
5272120110305 31.1 17.2  0.009999-99.9-99.9-99.9-99.9-9.9 9919.2 57 16.8 -99-99.9-9.9-9.9
5272120110306 33.4 19.4  0.009999-99.9-99.9-99.9-99.9-9.9 9919.2 53 16.8 -99-99.9-9.9-9.9
5272120110307 32.4 18.2  0.009999-99.9-99.9-99.9-99.9-9.9 9920.9 69 18.2 -99-99.9-9.9-9.9
5272120110308 35.5 16.1  0.009999-99.9-99.9-99.9-99.9-9.9 9920.3 62 17.7 -99-99.9-9.9-9.9
5272120110309 36.8 15.9  0.009999-99.9-99.9-99.9-99.9-9.9 9920.4 57 17.8 -99-99.9-9.9-9.9
5272120110310 34.2 15.5  0.009999-99.9-99.9-99.9-99.9-9.9 9920.9 65 18.2 -99-99.9-9.9-9.9
5272120110311 36.0 15.5  0.009999-99.9-99.9-99.9-99.9-9.9 9920.8 61 18.0 -99-99.9-9.9-9.9
5272120110312 36.1 21.5  8.319999-99.9-99.9-99.9-99.9-9.9 9923.4 62 19.9 -99-99.9-9.9-9.9
5272120110313 23.4 11.7  0.319999-99.9-99.9-99.9-99.9-9.9 9911.7 61  9.1 -99-99.9-9.9-9.9
