5291120061108-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291120061109 17.3  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 83  6.0 -99-99.9-9.9-9.9
5291120061110 21.2  2.1  0.009999-99.9-99.9-99.9-99.9 2.0 1513.0 86 10.1   2  1.411.0 2.1
5291120061111 18.2 12.4 18.019999-99.9-99.9-99.9-99.9-9.9 9918.0100 15.7   2  1.9 1.6-9.9
5291120061112 19.5 16.6-99.999999-99.9-99.9-99.9-99.9-9.9 9919.6100 17.2   3  2.3 1.1-9.9
5291120140720 23.8  4.7  0.009999-99.9-99.9-99.9-99.9-9.9 9912.5 78 10.1 -99-99.9-9.9-9.9
5291120140721 25.6  7.5  0.009999-99.9-99.9-99.9-99.9-9.9 9913.2 71 11.0 -99-99.9-9.9-9.9
5291120140722 28.6 10.5  7.819999-99.9-99.9-99.9-99.9-9.9 9915.6 64 13.5 -99-99.9-9.9-9.9
5291120140723 21.9 16.4 70.519999-99.9-99.9-99.9-99.9-9.9 9919.9 98 17.4 -99-99.9-9.9-9.9
5291120140724 16.4  8.9  2.019999-99.9-99.9-99.9-99.9-9.9 9913.4100 11.1 -99-99.9-9.9-9.9
5291120140725 15.3  4.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 88  7.2 -99-99.9-9.9-9.9
5291120140726 19.0  3.5  0.219999-99.9-99.9-99.9-99.9-9.9 9910.3 84  7.3 -99-99.9-9.9-9.9
5291120140727 24.0  3.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 79  9.0 -99-99.9-9.9-9.9
5291120140728 24.7 10.8  0.009999-99.9-99.9-99.9-99.9-9.9 9917.1 81 14.9 -99-99.9-9.9-9.9
5291120140729 27.0 13.4  0.009999-99.9-99.9-99.9-99.9-9.9 9918.4 78 16.1 -99-99.9-9.9-9.9
5291120140730 22.3 15.6 22.019999-99.9-99.9-99.9-99.9-9.9 9919.0 90 16.7 -99-99.9-9.9-9.9
5291120140731 20.4 15.9  9.519999-99.9-99.9-99.9-99.9-9.9 9919.6100 17.1 -99-99.9-9.9-9.9
5291120140801 29.1 13.8  0.009999-99.9-99.9-99.9-99.9-9.9 9919.7 74 17.2 -99-99.9-9.9-9.9
5291120140802 29.9 15.4  0.009999-99.9-99.9-99.9-99.9-9.9 9919.7 72 17.2 -99-99.9-9.9-9.9
5291120140803 31.5 17.1  0.009999-99.9-99.9-99.9-99.9-9.9 9917.9 61 15.7 -99-99.9-9.9-9.9
5291120140804 28.3 13.9  0.009999-99.9-99.9-99.9-99.9-9.9 9916.3 83 14.0 -99-99.9-9.9-9.9
5291120140805 27.5  8.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.3 51  8.6 -99-99.9-9.9-9.9
5291120140806 29.5 12.0  0.009999-99.9-99.9-99.9-99.9-9.9 9913.9 54 11.8 -99-99.9-9.9-9.9
5291120140807 27.4 13.3  0.009999-99.9-99.9-99.9-99.9-9.9 9918.0 77 15.8 -99-99.9-9.9-9.9
5291120140808 24.3 12.9  0.009999-99.9-99.9-99.9-99.9-9.9 9916.6 84 14.5 -99-99.9-9.9-9.9
