5273920160117 38.4 23.1  0.009999-99.9-99.9-99.9-99.911.2 8229.5 64 23.7   3  2.527.511.4
5273920160118 36.6 25.1  0.009999-99.9-99.9-99.9-99.910.9 8028.3 60 23.0   5  3.927.014.4
5273920160119 36.5 22.4  0.009999-99.9-99.9-99.9-99.911.5 8526.4 58 21.9   4  3.128.012.9
5273920160120 36.1 23.1  0.009999-99.9-99.9-99.9-99.911.3 8427.3 61 22.4   4  3.527.713.1
5273920160121 36.0 21.3  0.009999-99.9-99.9-99.9-99.911.3 8326.9 59 22.2   4  3.527.613.0
5273920160122 37.2 22.5  0.009999-99.9-99.9-99.9-99.911.1 8226.9 60 22.2   5  4.327.214.5
5273920160123 37.7 22.8  0.009999-99.9-99.9-99.9-99.911.2 8326.7 56 22.0   5  3.627.414.1
5273920160124 36.8 22.3 25.219999-99.9-99.9-99.9-99.911.3 8424.7 53 20.7  11  8.927.624.2
5273920160125 29.6 19.6 44.219999-99.9-99.9-99.9-99.9 4.5 3327.6 89 22.7  11  8.515.610.4
5273920160126 26.9 20.2  0.009999-99.9-99.9-99.9-99.9 2.4 1825.4 91 21.3  13 10.111.9 7.6
5273920160127 30.3 17.6  0.009999-99.9-99.9-99.9-99.911.6 8622.0 67 19.0   7  5.627.912.8
5273920160128 33.1 19.8  0.009999-99.9-99.9-99.9-99.9 9.2 6828.4 79 23.1   4  3.323.7 8.7
