5283020130129 35.5 15.5  0.009999-99.9 14.4-99.9-99.9-9.9 9919.6 57 17.1   3  2.1-9.9-9.9
5283020130130 39.8 16.8  0.009999-99.9 16.3-99.9-99.9-9.9 9920.0 46 17.5   3  2.6-9.9-9.9
5283020130131 32.3 21.8  0.009999-99.9 20.4-99.9-99.9-9.9 9925.5 76 21.4   3  2.7-9.9-9.9
5283020130201 40.3 20.5 20.219999-99.9 19.7-99.9-99.9-9.9 9926.3 57 21.9   3  2.3-9.9-9.9
5283020130202 32.5 20.2  2.519999-99.9 19.8-99.9-99.9-9.9 9925.0 75 20.9   8  6.2-9.9-9.9
5283020130203 27.3 15.8  0.009999-99.9 15.4-99.9-99.9-9.9 9914.1 56 12.0   8  6.2-9.9-9.9
5283020130204 29.3 12.0  0.009999-99.9 11.5-99.9-99.9-9.9 9914.9 55 12.9   4  3.6-9.9-9.9
5283020130205 30.8 12.0  0.009999-99.9 11.1-99.9-99.9-9.9 9915.9 52 13.9   4  3.4-9.9-9.9
5283020130206 30.6 16.6  0.009999-99.9 16.2-99.9-99.9-9.9 9916.9 55 14.8   8  6.2-9.9-9.9
5283020130207 32.1 16.8  0.009999-99.9 16.6-99.9-99.9-9.9 9919.8 64 17.3   5  4.4-9.9-9.9
5283020130208 34.1 19.8  0.009999-99.9 19.5-99.9-99.9-9.9 9919.9 49 17.3   6  5.2-9.9-9.9
5283020130209 34.7 18.2  0.009999-99.9 17.3-99.9-99.9-9.9 9922.2 61 19.1   5  4.0-9.9-9.9
5283020130210 34.9 20.1  0.009999-99.9 19.3-99.9-99.9-9.9 9924.0 63 20.4   4  3.5-9.9-9.9
5283020130211 33.7 20.4  0.009999-99.9 19.8-99.9-99.9-9.9 9924.5 71 20.7   4  3.4-9.9-9.9
5283020130212 37.3 17.3  0.009999-99.9 16.3-99.9-99.9-9.9 9920.3 53 17.5   2  1.5-9.9-9.9
5283020130213 34.3 19.0  0.219999-99.9 18.5-99.9-99.9-9.9 9922.2 55 19.1   6  4.4-9.9-9.9
5283020130214 33.9 20.6  0.009999-99.9 20.1-99.9-99.9-9.9 9925.2 70 21.2   5  4.1-9.9-9.9
5283020130215 34.2 16.5  0.009999-99.9 15.5-99.9-99.9-9.9 9922.1 59 19.0   3  2.6-9.9-9.9
5283020130216 37.4 18.4  5.019999-99.9 17.8-99.9-99.9-9.9 9924.0 71 20.3   5  3.8-9.9-9.9
5283020130217 30.1 21.2-99.999999-99.9 20.9-99.9-99.9-9.9 9926.5 85 22.0   6  4.4-9.9-9.9
5283020130218-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5283020130219-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5283020130220-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5283020130221-99.9-99.9  1.819999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5283020130222 28.9 13.9  0.009999-99.9 12.9-99.9-99.9-9.9 9920.3 79 17.7   5  4.1-9.9-9.9
5283020130223 32.2 16.3  9.519999-99.9 15.9-99.9-99.9-9.9 9921.2 69 18.4   7  5.3-9.9-9.9
5283020130224-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9100-99.9 -99-99.9-9.9-9.9
5283020130225-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5283020130226-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 9912.4 68 10.1 -99-99.9-9.9-9.9
5283020130227-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.6 58 10.2 -99-99.9-9.9-9.9
5283020130228 29.4 10.8  0.009999-99.9  9.9-99.9-99.9-9.9 9916.0 57 13.9   5  4.0-9.9-9.9
