5282420061107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420061214-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420101110-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420111020 26.2 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 9915.5 70 13.5 -99-99.9-9.9-9.9
5282420111021 26.6 13.2  7.419999-99.9-99.9-99.9-99.9-9.9 9916.0 75 14.0 -99-99.9-9.9-9.9
5282420111022 15.4  6.7  0.319999-99.9-99.9-99.9-99.9-9.9 9910.0 76  6.8 -99-99.9-9.9-9.9
5282420111023 19.6  5.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 77  8.5 -99-99.9-9.9-9.9
5282420111024 22.3  4.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.3 70  8.6 -99-99.9-9.9-9.9
5282420111025 17.6  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 9912.2 89  9.8 -99-99.9-9.9-9.9
5282420111026 15.5  8.9  0.619999-99.9-99.9-99.9-99.9-9.9 9911.8 86  9.3 -99-99.9-9.9-9.9
5282420111027 17.3  7.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 64  5.3 -99-99.9-9.9-9.9
5282420111028 26.0  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 45  5.4 -99-99.9-9.9-9.9
5282420111029 18.5  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 65  6.0 -99-99.9-9.9-9.9
5282420111030 19.8  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 60  4.9 -99-99.9-9.9-9.9
5282420111031 21.8 -0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 56  4.4 -99-99.9-9.9-9.9
5282420111101 23.0  7.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.5 67  8.9 -99-99.9-9.9-9.9
5282420111102 25.2 11.4  0.009999-99.9-99.9-99.9-99.9-9.9 9914.1 66 12.0 -99-99.9-9.9-9.9
5282420111103 26.3 12.4 51.319999-99.9-99.9-99.9-99.9-9.9 9917.6 84 15.5 -99-99.9-9.9-9.9
5282420111104 19.7 14.8  2.319999-99.9-99.9-99.9-99.9-9.9 9918.5 98 16.2 -99-99.9-9.9-9.9
5282420111105 21.7 12.2  0.009999-99.9-99.9-99.9-99.9-9.9 9915.7 90 13.7 -99-99.9-9.9-9.9
5282420111106 25.0  8.4  0.009999-99.9-99.9-99.9-99.9-9.9 9912.6 59 10.3 -99-99.9-9.9-9.9
5282420111107 23.3 12.1  9.019999-99.9-99.9-99.9-99.9-9.9 9912.9 60 10.7 -99-99.9-9.9-9.9
5282420111108 18.0 13.6 35.319999-99.9-99.9-99.9-99.9-9.9 9916.5 98 14.5 -99-99.9-9.9-9.9
5282420111109 24.3 12.5  0.919999-99.9-99.9-99.9-99.9-9.9 9915.4 79 13.1 -99-99.9-9.9-9.9
5282420111110 18.2  8.1  3.719999-99.9-99.9-99.9-99.9-9.9 9912.0 91  9.6 -99-99.9-9.9-9.9
5282420111111 24.7  6.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 54  9.2 -99-99.9-9.9-9.9
5282420111112 28.6  8.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.6 58 11.5 -99-99.9-9.9-9.9
5282420111113 28.3 11.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.4 51 11.3 -99-99.9-9.9-9.9
