5011419560419-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.1 65  7.1   7  5.6-9.9-9.9
5011419560420-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.8 73  9.4   9  7.2-9.9-9.9
5011419560421-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.6 92 10.4   9  7.2-9.9-9.9
5011419560422-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.4 98 11.3   4  3.2-9.9-9.9
5011419560423-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.6 72  4.8   4  3.2-9.9-9.9
5011419560424-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.1 68  3.9   7  5.6-9.9-9.9
5011419560425-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.6 64  4.8   9  7.2-9.9-9.9
5011419560426-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.3 72  8.8   7  5.6-9.9-9.9
5011419560427-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.6 70  4.8  11  8.8-9.9-9.9
5011419560428-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.6 58  3.0   4  3.2-9.9-9.9
5011419560429-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.4 67  6.1   9  7.2-9.9-9.9
5011419560430-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 72  6.7   9  7.2-9.9-9.9
5011419560501-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.3 63  4.3   7  5.6-9.9-9.9
5011419560502-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.1 60  3.9   9  7.2-9.9-9.9
5011419560503-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 69  2.9   7  5.6-9.9-9.9
5011419560504-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.8 62  1.5   9  7.2-9.9-9.9
5011419560505-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.7 64  5.0   7  5.6-9.9-9.9
5011419560506-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.1 73  8.5   6  4.8-9.9-9.9
5011419560507-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.9 89  1.7  31 24.8-9.9-9.9
5011419560508-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.1 69 -2.5   6  4.8-9.9-9.9
5011419560509-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.2 58 -2.2   4  3.2-9.9-9.9
5011419560510-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.4 57 -1.7   4  3.2-9.9-9.9
