5044519681031 32.4  9.4  0.009999-99.9-99.9-99.9-99.9 0.0  010.8 41  8.1   3  2.4 7.3 2.8
5044519681101 35.5 15.2  0.009999-99.9-99.9-99.9-99.9 0.0  012.7 44 10.5  14 11.2 7.3 4.7
5044519681102 24.0 12.2  0.009999-99.9-99.9-99.9-99.9 0.0  010.5 49  7.7  10  8.0 7.3 3.2
5044519681103 28.0  8.8  0.009999-99.9-99.9-99.9-99.9 0.0  011.0 50  8.4   4  3.2 7.4 2.6
5044519681104 28.0  8.8  0.009999-99.9-99.9-99.9-99.9 0.0  011.0 50  8.4   4  3.2 7.4 2.6
5044519681105 33.0 14.1  0.009999-99.9-99.9-99.9-99.9 0.0  012.1 43  9.8   8  6.4 7.4 3.7
5044519681106 31.3 12.8  0.009999-99.9-99.9-99.9-99.9 0.0  011.4 48  8.9   4  3.2 7.5 3.0
5044519681107 35.9 12.1  0.009999-99.9-99.9-99.9-99.9 0.0  011.5 38  9.0   9  7.2 7.5 4.0
5044519681108 30.6 15.2  0.009999-99.9-99.9-99.9-99.9 0.0  011.2 39  8.6  10  8.0 7.5 4.0
5044519681109 36.6 15.0  0.009999-99.9-99.9-99.9-99.9 0.0  012.0 39  9.7  14 11.2 7.5 5.0
5044519681110 26.6 13.0  0.009999-99.9-99.9-99.9-99.9 0.0  0 7.3 33  2.5   6  4.8 7.6 3.5
5044519681111 32.1  9.8  0.009999-99.9-99.9-99.9-99.9 0.0  0 8.7 36  5.0   5  4.0 7.6 3.3
5044519681112 34.1 12.6  0.009999-99.9-99.9-99.9-99.9 0.0  010.6 37  7.8   7  5.6 7.6 3.7
5044519681113 37.0 17.7  0.009999-99.9-99.9-99.9-99.9 0.0  013.6 37 11.5  15 12.0 7.6 5.3
5044519681114 29.0 17.6 12.119999-99.9-99.9-99.9-99.9 0.0  012.1 40  9.8   9  7.2 7.6 3.8
5044519681115 33.7 14.0  0.009999-99.9-99.9-99.9-99.9 0.0  013.9 46 11.9   6  4.8 7.7 3.3
5044519681116 35.4 19.7  0.009999-99.9-99.9-99.9-99.9 0.0  011.9 34  9.5   9  7.2 7.7 4.5
5044519681117 32.4 15.2  0.009999-99.9-99.9-99.9-99.9 0.0  013.0 42 10.9   8  6.4 7.7 3.7
5044519681118 35.4 17.3  0.009999-99.9-99.9-99.9-99.9 0.0  013.6 38 11.5   9  7.2 7.7 4.2
5044519681119 38.2 23.7  0.009999-99.9-99.9-99.9-99.9 0.0  010.9 25  8.2  17 13.6 7.8 6.7
5044519681120 31.9 20.3  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.4 29  6.1  12  9.6 7.8 5.1
5044519681121 32.6 14.7  0.009999-99.9-99.9-99.9-99.9 0.0  011.8 40  9.4   4  3.2 7.8 3.3
5044519681122 36.6 15.4  0.009999-99.9-99.9-99.9-99.9 0.0  013.0 41 10.9   3  2.4 7.8 3.3
5044519681123 34.1 19.6  0.009999-99.9-99.9-99.9-99.9 0.0  014.5 41 12.5   5  4.0 7.8 3.6
5044519681124 33.0 19.1  0.319999-99.9-99.9-99.9-99.9 0.0  015.4 47 13.4  13 10.4 7.8 4.5
5044519681125 30.6 14.7  0.009999-99.9-99.9-99.9-99.9 0.0  014.6 55 12.6   8  6.4 7.9 3.3
5044519681126 32.8 15.8  0.009999-99.9-99.9-99.9-99.9 0.0  015.4 53 13.4   4  3.2 7.9 3.1
5044519681127 36.8 16.1  0.009999-99.9-99.9-99.9-99.9 0.0  014.6 44 12.6   9  7.2 7.9 4.1
5044519681128 32.3 22.7  0.009999-99.9-99.9-99.9-99.9 0.0  013.0 36 10.9  17 13.6 7.9 5.8
5044519681129 30.5 19.5  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.6 30  6.4   5  4.0 7.9 3.8
