5047519710715 22.8  2.3  0.009900 -0.6-99.9-99.9-99.9 9.8 92 7.8 58  3.4   6  4.815.6 1.7
5047519710716 23.0  3.2  0.009900  0.4-99.9-99.9-99.9 8.9 8310.0 64  7.0  11  8.814.6 1.9
5047519710717 28.9  5.2  0.009900  1.9-99.9-99.9-99.9 9.6 90 8.9 53  5.3   9  7.215.4 2.4
5047519710718 27.0  5.6  0.009900  2.2-99.9-99.9-99.9 9.8 91 8.1 46  3.9   9  7.215.7 2.3
5047519710719 27.1  5.3  0.009900  2.4-99.9-99.9-99.9 9.8 91 9.3 53  5.9   9  7.215.8 2.3
5047519710720 30.4  4.8  0.009900  1.1-99.9-99.9-99.9 9.8 91 7.6 46  3.0   9  7.215.8 2.5
5047519710721 31.2  5.7  0.009900  2.4-99.9-99.9-99.9 9.8 91 6.3 37  0.4  11  8.815.9 2.9
5047519710722 25.4  8.8  0.009900  4.7-99.9-99.9-99.9 9.7 9010.6 56  7.8  11  8.815.8 2.5
5047519710723 28.7  6.4  0.009900  3.2-99.9-99.9-99.9 9.5 8810.3 59  7.4   7  5.615.7 2.3
5047519710724 23.1  5.7  0.009900  3.8-99.9-99.9-99.9 9.0 8311.4 67  8.9   9  7.215.1 1.9
5047519710725 20.1  9.9  0.009900  7.7-99.9-99.9-99.9 6.2 5710.6 63  7.8   8  6.411.8 2.0
5047519710726 21.1  5.4  0.009900  2.4-99.9-99.9-99.9 8.4 7810.5 72  7.7   4  3.214.5 1.6
5047519710727 22.7  5.6  0.009900  1.8-99.9-99.9-99.9 9.3 8611.0 66  8.4  11  8.815.7 2.1
5047519710728 20.0 10.6  0.009900  7.7-99.9-99.9-99.9 4.9 4512.3 75 10.0   9  7.210.4 1.8
5047519710729 19.4  8.2  0.009900  5.6-99.9-99.9-99.9 3.5 3211.2 73  8.6  15 12.0 8.7 2.0
5047519710730 13.7 10.4  0.009900  9.1-99.9-99.9-99.9 0.0  012.2 89  9.9   9  7.2 4.4 1.0
5047519710731 16.5  8.4  0.009900  5.7-99.9-99.9-99.9 4.6 4210.5 75  7.7  11  8.810.1 1.7
5047519710801 16.9  9.5  0.009900  8.1-99.9-99.9-99.9 5.6 5111.2 81  8.6   8  6.411.4 1.7
