5055719710911 17.8  8.4  1.319999  5.9-99.9-99.9-99.9 7.1 56 7.6 57  2.7   8  6.811.8 2.2
5055719710912 20.5  6.1  0.009999  0.0-99.9-99.9-99.9 7.1 56 7.5 48  2.8  42 33.811.9 5.5
5055719710913 21.5 13.8  0.009999 12.4-99.9-99.9-99.9 9.7 76 5.6 30 -1.5   3  2.414.8 2.2
5055719710914 19.5  6.3  0.009999  5.9-99.9-99.9-99.9 7.5 58 5.2 35 -1.7   9  7.912.5 2.7
5055719710915 16.0  5.9  0.009999  6.4-99.9-99.9-99.9 8.0 62 5.5 40 -1.3  33 26.813.2 4.8
5055719710916 20.7  3.9  0.009999  1.4-99.9-99.9-99.910.1 78 5.8 39 -7.0   3  2.815.6 2.0
5055719710917 22.2 -0.7  0.009999 -2.1-99.9-99.9-99.9 5.8 44 8.3 61  4.1  10  8.310.9 2.0
5055719710918 20.0  2.8  0.009999 -0.5-99.9-99.9-99.9 9.3 71 6.0 42 -6.0  17 13.915.0 3.3
5055719710919 15.7  5.4  0.009999  3.9-99.9-99.9-99.910.2 78 5.5 46 -1.4   9  7.416.1 2.5
5055719710920 11.5 -2.7  0.009999 -5.1-99.9-99.9-99.9 4.3 32 7.2 74  2.1  12 10.0 9.5 1.1
5055719710921 14.7  3.7  0.009999  0.0-99.9-99.9-99.9 9.2 70 6.1 58 -8.0   8  7.015.3 2.2
5055719710922 15.5  3.8  0.009999  1.8-99.9-99.9-99.910.3 77 4.4 36 -6.4  10  8.216.5 2.7
5055719710923 14.2 -0.2  0.009999 -2.7-99.9-99.9-99.9 0.0  0 4.8 39 -3.2  39 31.7 5.0 4.4
5055719710924 21.4  3.8  0.009999 -0.5-99.9-99.9-99.9 8.2 62 5.9 37  0.0   4  3.414.6 2.3
5055719710925 22.2  8.3  0.009999  6.9-99.9-99.9-99.9 6.5 48 6.1 33  0.0  10  8.112.5 3.3
5055719710926 23.0 10.8  0.009999 16.4-99.9-99.9-99.9 7.7 57 7.3 35  2.4  21 17.214.1 4.9
5055719710927 25.6 13.3  0.009999  8.9-99.9-99.9-99.910.8 81 8.6 40  4.4   8  6.818.0 3.6
5055719710928 30.0  4.0  0.009999  2.3-99.9-99.9-99.910.7 79 9.5 50  6.1  10  8.617.9 3.5
5055719710929 24.0  9.8  0.009999  9.4-99.9-99.9-99.910.6 7811.0 53  8.3   5  4.717.9 2.9
5055719710930 25.3  7.7  0.009999  6.1-99.9-99.9-99.9 8.7 64 9.2 55  5.7   4  3.315.8 2.7
5055719711001 28.0  6.3  0.009999-99.9-99.9-99.9-99.912.4 99-9.9-99-99.9   4  3.321.8-9.9
5055719711002 22.9  7.4  0.009999-99.9-99.9-99.9-99.912.4 99-9.9-99-99.9  17 13.722.0-9.9
5055719711003 11.3  1.1  1.419999-99.9-99.9-99.9-99.912.5 99-9.9-99-99.9  11  9.222.2-9.9
5055719711004 14.3 -3.7  0.009999-99.9-99.9-99.9-99.912.5 99-9.9-99-99.9   3  2.822.4-9.9
5055719711005 17.0 -2.7  0.009999-99.9-99.9-99.9-99.912.6 99-9.9-99-99.9   6  5.522.6-9.9
5055719711006 14.0  8.0  0.219999-99.9-99.9-99.9-99.912.6 99-9.9-99-99.9  29 23.422.8-9.9
5055719711007 12.5  7.1  0.009999-99.9-99.9-99.9-99.912.7 99-9.9-99-99.9  28 23.123.0-9.9
5055719711008 17.0 -0.1  1.119999-99.9-99.9-99.9-99.912.7 99-9.9-99-99.9   6  5.423.2-9.9
